 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
8,1408,0.380087209,0.999999999,0.576030927,33,6,11,1,4.5703125,4,0,0,1,0,0,0,-1,852,265.8975,7900,843300,406950,2757.461538,3872.815765,3395.567774,1200,32000,8716.666667,0,0,1,0,0,0,0,0,0.540190897,0.050006778,0.309763669,0.050038151,0.050000505,0.462599079,0.144712784,0.0390625,0.012073864,0.763888889,0.236111111,0.346796143,0.033333333,0.9,-0.296895425,-0.875,-0.05,0,0,0.5,0,45900
12,1823,0.425027563,0.999999999,0.657692307,10,5,1,2,4.443773999,5,0,0,0,0,0,1,-1,3500,699.2,17400,843300,363340,2173.845842,9100,4284.760656,2000,17400,7325,0,0,0,0,1,0,0,0,0.041316977,0.040013319,0.610699748,0.26615203,0.041817926,0.529121217,0.051708992,0.042238069,0.027975864,0.6015625,0.3984375,0.331536515,0.05,1,-0.291946779,-1,-0.008333333,0,0,0.5,0,27800
8,1920,0.359391395,0.999999999,0.559210526,19,4,1,0,4.524479167,7,0,1,0,0,0,0,4,441,141,27300,843300,284528.5714,2553.253106,6942.852008,4249.398536,1300,1300,1300,0,0,0,0,0,1,0,1,0.029397539,0.491725,0.028627103,0.421104876,0.029145482,0.461131525,0.008296916,0.0359375,0.035416667,0.503649635,0.496350365,0.376327561,0.05,0.9,-0.331495098,-1,-0.05,0.55,0.45,0.05,0.45,26600
14,1295,0.40830721,0.999999999,0.615602836,2,1,5,0,4.451737452,10,1,0,0,0,0,0,-1,399,48,8200,843300,159240,1899.762712,5610.619048,3734.598339,0,0,0,0,0,0,0,0,0,1,1,0.02094568,0.020068061,0.315682282,0.234109433,0.409194544,0.458613596,0.06332377,0.034749035,0.020849421,0.625,0.375,0.376473064,0.033333333,0.9,-0.283480306,-1,-0.071428571,0.066666667,-0.166666667,0.433333333,0.166666667,26400
11,1567,0.301587301,0.999999999,0.370439663,35,3,25,0,5.077855775,9,0,0,0,0,0,0,-1,463,147.5,0,843300,407700,0,7534.334151,4003.487263,2000,2000,2000,1,0,0,0,0,0,0,0,0.022598102,0.022439866,0.022292563,0.910446202,0.022223267,0.665099206,0.242614087,0.059987237,0.01531589,0.796610169,0.203389831,0.439817629,0.1,1,-0.490798611,-0.7,-0.1,0.9,0.6,0.4,0.6,23700
11,912,0.562425683,0.999999999,0.629246676,68,3,17,1,4.978070175,10,0,0,0,0,0,0,-1,543,108.9,19600,843300,292140,2356.833333,9950.874074,4926.108311,5100,17700,11400,0,1,0,0,0,0,0,0,0.020000854,0.02009147,0.333705031,0.606202604,0.020000041,0.413636364,0.086174242,0.015350877,0.012061404,0.56,0.44,0.48495671,0.1,1,-0.285227273,-0.4,-0.05,0,0,0.5,0,20700
10,1857,0.418091561,0.999999999,0.579439252,35,33,35,1,4.650511578,10,0,0,0,0,1,0,-1,1000,333.75,0,843300,119760,0,3541.525439,1879.611268,474,18000,2782.387097,0,0,0,1,0,0,0,0,0.020002381,0.02000755,0.020002396,0.117903379,0.822084295,0.476703163,0.135532199,0.040387722,0.013462574,0.75,0.25,0.345294372,0.05,1,-0.283166667,-0.7,-0.025,0.3,0.2,0.2,0.2,18800
12,1281,0.406940063,0.999999999,0.634807417,13,1,5,1,4.406713505,8,0,0,0,0,1,0,-1,975,253.1428571,0,843300,322550,0,7486.082192,3577.599191,5500,5500,5500,0,0,0,0,1,0,0,0,0.025526651,0.025003602,0.025003903,0.02500118,0.899464665,0.467569694,0.213218814,0.044496487,0.009367681,0.826086957,0.173913043,0.415269234,0.033333333,1,-0.184259259,-0.4,-0.05,0.283333333,0.166666667,0.216666667,0.166666667,16800
8,1225,0.409539473,0.999999999,0.624071322,9,0,1,0,4.546122449,8,0,0,1,0,0,0,4,1600,390.2857143,0,843300,221687.5,0,3398.46563,2313.193609,0,0,0,0,0,1,0,0,0,0,0,0.899955818,0.025001315,0.02500043,0.025000404,0.025042034,0.550254537,0.233424804,0.056326531,0.015510204,0.784090909,0.215909091,0.420488111,0.1,1,-0.273026316,-0.6,-0.025,0.5,0.5,0,0.5,14000
10,1499,0.404255319,0.999999999,0.580316741,13,3,3,0,4.612408272,3,0,0,1,0,0,0,-1,431,143,306100,843300,613266.6667,3181.925869,4099.407407,3575.864259,1300,7600,5066.666667,0,0,0,0,0,0,1,1,0.730743644,0.066882439,0.066666905,0.067862251,0.067844761,0.432821432,0.146970207,0.040693796,0.010673783,0.792207792,0.207792208,0.324654744,0.1,1,-0.249305556,-0.8,-0.05,1,0.1,0.5,0.1,13900
8,1118,0.512396694,0.999999999,0.709770114,26,18,12,1,4.703935599,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,14000,3904.625,1,0,0,0,0,0,0,0,0.040080506,0.04014438,0.040027647,0.839741884,0.040005583,0.57962963,0.056378601,0.041144902,0.025939177,0.613333333,0.386666667,0.504528986,0.1,1,-0.401436782,-1,-0.05,0.566666667,-0.1,0.066666667,0.1,13600
9,2072,0.452907874,0.999999999,0.605283018,7,4,53,0,4.611969112,4,0,1,0,0,0,0,-1,176,43.25,42300,843300,384225,2062.855556,3576.691555,2975.908872,795,2000,1397.5,0,0,0,1,0,0,0,0,0.050003336,0.052316872,0.050148099,0.797531666,0.050000027,0.443775247,0.065166256,0.031853282,0.022683398,0.584070796,0.415929204,0.394923587,0.0625,1,-0.325243551,-1,-0.05,0.727272727,0.318181818,0.227272727,0.318181818,13400
11,1519,0.284246575,0.999999999,0.355488419,9,9,22,0,4.982225148,10,0,0,0,0,1,0,-1,1100,274.4,2100,843300,313090,1533.333333,4730.207921,2916.701383,2200,8400,3780,1,0,0,0,0,0,0,0,0.020040369,0.020011523,0.159305965,0.020001721,0.780640422,0.37419232,0.059262767,0.021066491,0.01843318,0.533333333,0.466666667,0.280823864,0.1,1,-0.131051587,-0.433333333,-0.05,0.5,0.5,0,0.5,12900
4,1410,0.348887293,0.999999999,0.487632508,23,7,12,0,4.619858156,6,0,0,0,0,1,0,217,469,326.25,0,617900,119200,0,3323.597403,2102.44371,1500,11200,5575,0,0,1,0,0,0,0,0,0.0339959,0.033390379,0.495910883,0.033550073,0.403152764,0.492026915,0.225045549,0.053900709,0.009929078,0.844444444,0.155555556,0.386231203,0.05,1,-0.201289683,-0.6,-0.05,0,0,0.5,0,11900
12,1539,0.396301189,0.999999999,0.630086312,7,1,1,1,4.550357375,10,0,0,0,0,1,0,4,138,70,0,843300,192910,0,4077.790503,2476.322094,12400,12400,12400,0,0,0,0,1,0,0,0,0.020154854,0.119785795,0.355817719,0.020093042,0.48414859,0.484844944,0.091709472,0.043534763,0.015594542,0.736263736,0.263736264,0.322297441,0.05,1,-0.397800926,-1,-0.1,0,0,0.5,0,11900
7,1407,0.414809489,0.999999999,0.617346938,12,7,1,0,4.641080313,8,0,0,0,1,0,0,-1,211,97.14285714,0,843300,195012.5,0,4636.72327,3370.616315,2200,13700,7160,1,0,0,0,0,0,0,0,0.692802136,0.02502791,0.025108001,0.025107979,0.231953973,0.437865064,0.071595026,0.049751244,0.028429282,0.636363636,0.363636364,0.336233766,0.033333333,0.8,-0.302083333,-0.7,-0.1,0,0,0.5,0,11000
9,1729,0.396729255,0.999999999,0.50420168,152,3,76,0,5.66454598,8,0,0,0,0,0,0,4,440,183.125,19300,843300,281687.5,3276.680974,8208.476773,4551.86267,7300,7300,7300,0,0,0,0,0,0,1,1,0.025457274,0.025011597,0.025154927,0.753929624,0.170446577,0.573897651,0.298514247,0.041642568,0.009832273,0.808988764,0.191011236,0.478974717,0.033333333,1,-0.298133484,-0.6,-0.125,0,0,0.5,0,10400
8,1224,0.420746888,0.999999999,0.64520958,20,8,11,0,4.320261438,7,0,0,0,0,1,0,4,279,93,0,843300,211971.4286,0,3256.405327,2376.995224,2000,13900,6466.666667,0,1,0,0,0,0,0,0,0.028671364,0.028573348,0.028617799,0.028571808,0.885565681,0.546495424,0.191499271,0.048202614,0.022875817,0.67816092,0.32183908,0.466435542,0.033333333,1,-0.245196123,-0.9,-0.1,0.9,0.5,0.4,0.5,10200
11,1662,0.44892648,0.999999999,0.562444641,5,4,63,0,4.629362214,5,0,1,0,0,0,0,-1,549,110,20800,843300,328840,2523.56,5597.407407,3520.206144,795,6100,3447.5,0,0,0,1,0,0,0,0,0.040002036,0.041240439,0.040086618,0.838670803,0.040000104,0.421290793,0.096423951,0.028279182,0.016245487,0.635135135,0.364864865,0.413708897,0.0625,1,-0.331552707,-0.8,-0.05,0.583333333,0.333333333,0.083333333,0.333333333,10000
9,1299,0.476744186,0.999999999,0.706896551,8,1,1,0,4.808314088,10,0,0,0,0,0,1,4,2400,649.875,0,843300,180800,0,5750,2331.024993,0,0,0,0,0,0,1,0,0,0,0,0.020006429,0.020004024,0.265648207,0.020003492,0.674337848,0.4744988,0.118014399,0.035411855,0.018475751,0.657142857,0.342857143,0.383843874,0.1,1,-0.264476496,-1,-0.1,0,0,0.5,0,9900
9,1434,0.35684062,0.999999999,0.519388954,26,2,13,0,4.70292887,9,0,0,0,0,1,0,-1,748,216,24500,843300,166200,2737.589928,6780.884615,3930.245882,2300,2300,2300,1,0,0,0,0,0,0,0,0.022646615,0.022237495,0.022233239,0.022663165,0.910219487,0.497958539,0.193277159,0.049511855,0.009065551,0.845238095,0.154761905,0.346230413,0.033333333,1,-0.19502442,-0.5,-0.05,0.55,0.7,0.05,0.7,9400
9,1389,0.39206642,0.999999999,0.508795669,6,3,35,0,4.158387329,9,0,0,0,0,0,1,-1,912,229.7777778,53100,843300,166788.8889,2152.823779,7394.869565,3956.602119,18200,18200,18200,0,0,0,1,0,0,0,0,0.022484826,0.022249799,0.39861574,0.023179159,0.533470475,0.518029897,0.197634545,0.032397408,0.010799136,0.75,0.25,0.395412458,0.0625,1,-0.217433862,-0.5,-0.05,0.75,0.675,0.25,0.675,9300
9,1959,0.331576173,0.999999999,0.441640378,5,2,33,0,4.899438489,5,0,0,0,0,0,1,-1,1100,296.5,0,843300,206520,0,4200,2447.218383,797,797,797,0,0,0,1,0,0,0,0,0.040001457,0.040000979,0.640268986,0.23972533,0.040003249,0.329968944,0.161523621,0.021949974,0.006125574,0.781818182,0.218181818,0.404112554,0.05,1,-0.164583333,-0.4,-0.1,0,0,0.5,0,9300
7,1566,0.389776358,0.999999999,0.549019607,46,5,1,0,4.880587484,6,0,0,0,1,0,0,4,603,182.1666667,37500,843300,217916.6667,3195.631868,5109.870748,3995.179895,2100,4300,3200,0,0,1,0,0,0,0,0,0.865991141,0.033362956,0.033391341,0.033657554,0.033597008,0.53590159,0.231918818,0.06385696,0.01532567,0.806451613,0.193548387,0.431102814,0.033333333,1,-0.224727183,-0.8,-0.05,0.4,0.1,0.1,0.1,9300
8,1955,0.396659708,0.999999999,0.62062615,0,0,1,14,4.455754476,8,0,1,0,0,0,0,4,1100,449.75,7400,690400,125250,2900,5747.142857,3700.335396,0,0,0,0,1,0,0,0,0,0,0,0.025737489,0.898514913,0.02504901,0.025189227,0.025509362,0.568339125,0.006577846,0.049616368,0.046035806,0.518716578,0.481283422,0.405495158,0.1,1,-0.373952822,-1,-0.008333333,0,0,0.5,0,8400
12,1642,0.365129501,0.999999999,0.535211267,27,5,21,0,4.311205847,6,0,0,0,0,1,0,4,610,164.6666667,5300,843300,230500,1842.733333,3256.741092,2569.43648,564,5200,2237.333333,0,0,0,0,1,0,0,0,0.034285331,0.033998404,0.200788057,0.033333876,0.697594331,0.572337129,0.326222739,0.076735688,0.012789281,0.857142857,0.142857143,0.498276988,0.033333333,1,-0.228637566,-0.5,-0.05,0.666666667,-0.125,0.166666667,0.125,8300
9,1410,0.463506395,0.999999999,0.612831858,85,11,75,1,5.413475177,4,0,0,0,0,0,0,-1,426,107.6475,110200,843300,660025,3509.663201,7181.99974,5375.371958,1100,43100,7950,1,0,0,0,0,0,0,0,0.050000123,0.050027863,0.050000012,0.799971982,0.05000002,0.520823174,0.169993885,0.036170213,0.014184397,0.718309859,0.281690141,0.385932434,0.1,0.85,-0.314652778,-1,-0.05,0.466666667,0.3,0.033333333,0.3,7800
10,1343,0.37936267,0.999999999,0.549608354,8,8,13,1,4.484735666,7,0,0,0,0,1,0,-1,917,224,0,843300,356900,0,4139.083969,2470.502059,755,2100,1625.833333,0,0,1,0,0,0,0,0,0.028689962,0.028666602,0.02857233,0.028702643,0.885368463,0.440234669,0.153244696,0.051377513,0.020104244,0.71875,0.28125,0.382912196,0.0625,1,-0.26409465,-0.7,-0.05,0.431666667,0.078333333,0.068333333,0.078333333,7600
8,1866,0.410145709,0.999999999,0.632805218,53,10,4,6,4.726152197,9,1,0,0,0,0,0,-1,0,-1,0,843300,261200,0,4423.301937,2894.062365,555,21000,6063.75,0,0,0,0,1,0,0,0,0.022717866,0.022228073,0.022243202,0.022273977,0.910536883,0.472062909,0.130936472,0.046623794,0.020364416,0.696,0.304,0.379416082,0.1,1,-0.255336257,-0.8,-0.008333333,0,0,0.5,0,7300
13,1653,0.446485117,0.999999999,0.648619957,21,4,1,26,4.468239564,4,0,1,0,0,0,0,-1,49,11.5,19200,843300,378450,1866.806167,3483.92786,2849.174226,829,1900,1243,0,0,0,1,0,0,0,0,0.050004723,0.524972043,0.323996362,0.05102684,0.050000032,0.473229134,0.027028351,0.049001815,0.040532365,0.547297297,0.452702703,0.412482363,0.05,1,-0.417115886,-1,-0.05,0.6,0.7,0.1,0.7,7300
9,1393,0.384168482,0.999999999,0.57642487,14,3,1,2,4.64034458,6,0,0,0,1,0,0,217,515,367.2,0,617900,127200,0,4042.875,2885.97538,0,0,0,0,1,0,0,0,0,0,0,0.289371437,0.033378231,0.033353601,0.033389513,0.610507218,0.537487462,0.16918686,0.03948313,0.008614501,0.820895522,0.179104478,0.374954349,0.1,0.9,-0.302430556,-0.8,-0.05,0,0,0.5,0,6900
7,1785,0.379587156,0.999999999,0.564500484,53,36,5,1,4.671148459,4,0,0,1,0,0,0,-1,0,-1,96100,843300,433475,2433.720207,4333.909309,3320.509498,497,45900,5452.258065,0,1,0,0,0,0,0,0,0.799432944,0.050069647,0.05003626,0.050108443,0.050352706,0.455455469,0.157476441,0.052661064,0.013445378,0.796610169,0.203389831,0.346826932,0.033333333,0.8,-0.228670635,-0.5,-0.071428571,0,0,0.5,0,6700
9,1629,0.367924528,0.999999999,0.54756871,27,14,18,0,4.309392265,10,0,0,0,0,1,0,-1,790,271.8,3600,843300,249290,1443.4,5090.643979,3219.235808,847,2500,1673.5,0,1,0,0,0,0,0,0,0.020399304,0.020015245,0.120855074,0.020065239,0.818665139,0.493466727,0.220162223,0.052179251,0.013505218,0.794392523,0.205607477,0.422894067,0.05,1,-0.229040404,-0.5,-0.1,1,0.5,0.5,0.5,6600
6,1473,0.470464135,0.999999999,0.67118644,33,1,12,1,4.786150713,6,0,0,0,0,0,0,-1,894,287.8,0,843300,322150,0,8713.10793,3943.966702,9400,9400,9400,0,0,0,0,0,0,1,1,0.033336161,0.033481052,0.033938768,0.865907543,0.033336476,0.429349721,0.16984499,0.043448744,0.020366599,0.680851064,0.319148936,0.438240327,0.1,1,-0.18837963,-0.4,-0.05,0,0,0.5,0,6500
9,2711,0.334564254,0.999999999,0.527401676,36,3,9,0,4.888233124,6,0,0,1,0,0,0,-1,1100,234.8333333,27700,843300,324383.3333,2447.229577,5421.29078,3840.643602,0,0,0,0,0,0,0,0,0,1,1,0.866666349,0.033333439,0.033333471,0.033333342,0.033333399,0.528626017,0.248991825,0.065658429,0.0136481,0.827906977,0.172093023,0.4316145,0.033333333,1,-0.21951952,-0.5,-0.05,0.85,0.25,0.35,0.25,6100
7,1487,0.413441955,0.999999999,0.597727272,28,6,11,0,4.786146604,10,1,0,0,0,0,0,217,1100,464.6666667,0,69100,38780,0,6839.65,3118.944731,2600,31800,13200,0,0,0,0,1,0,0,0,0.270750433,0.020028341,0.144928249,0.376783345,0.187509632,0.460478416,0.19039914,0.065904506,0.012104909,0.844827586,0.155172414,0.367391996,0.033333333,1,-0.294973545,-0.6,-0.071428571,0.066666667,0.033333333,0.433333333,0.033333333,6000
7,1098,0.464387464,0.999999999,0.620592383,24,3,1,0,5.048269581,6,0,0,0,0,0,1,4,410,148,25300,690400,268783.3333,2308.121005,3708.180461,3148.342157,1800,4800,3300,0,0,0,1,0,0,0,0,0.698302395,0.033366904,0.201370346,0.033386277,0.033574078,0.346612064,0.132145081,0.040983607,0.007285974,0.849056604,0.150943396,0.28233165,0.033333333,0.8,-0.319791667,-1,-0.125,0.5,0.2,0,0.2,6000
11,1080,0.467570183,0.999999999,0.599999999,84,4,1,2,4.928703704,6,0,0,0,0,0,1,-1,752,256.3333333,1100,843300,277733.3333,926,6996.722222,3484.432616,16800,46300,27700,0,0,0,0,1,0,0,0,0.033334425,0.199956952,0.700038974,0.033334162,0.033335487,0.440617914,0.050493455,0.024074074,0.019444444,0.553191489,0.446808511,0.411838162,0.033333333,1,-0.363756614,-1,-0.1,0,0,0.5,0,5900
9,1129,0.455045871,0.999999999,0.623893804,20,1,11,1,4.599645704,6,0,0,0,0,0,0,-1,1300,228.0983333,21000,843300,495250,3228.693957,11150,5670.026197,7600,7600,7600,0,0,1,0,0,0,0,0,0.033333887,0.514887996,0.033333881,0.385110638,0.033333598,0.425230807,0.071507532,0.031886625,0.025686448,0.553846154,0.446153846,0.466203704,0.1,1,-0.33479064,-1,-0.071428571,1,0.85,0.5,0.85,5700
10,1292,0.394268009,0.999999999,0.561679789,12,0,1,0,4.956656347,6,0,0,1,0,0,0,-1,1100,250.8333333,27700,843300,341150,3261.687006,5445.33813,4212.9481,0,0,0,1,0,0,0,0,0,0,0,0.86655172,0.033335675,0.033334277,0.033368378,0.033409949,0.503952714,0.205400062,0.069659443,0.034829721,0.666666667,0.333333333,0.469121212,0.033333333,1,-0.230277778,-0.7,-0.05,0.484848485,0.112121212,0.015151515,0.112121212,5700
10,2071,0.378006873,0.999999999,0.546698872,14,3,1,2,4.36938677,10,1,0,0,0,0,0,4,1100,312.9,8000,843300,210550,2527.016009,8139.8,3755.941329,3500,4400,3933.333333,0,0,0,0,0,0,1,1,0.37478365,0.020017727,0.131247161,0.021039954,0.452911508,0.429653876,0.150624451,0.044905843,0.020280058,0.688888889,0.311111111,0.401026393,0.033333333,1,-0.22989418,-1,-0.05,0,0,0.5,0,5700
11,1174,0.387576553,0.999999999,0.5433526,25,4,10,0,4.492333901,10,0,0,0,0,0,1,4,765,273.5,2400,843300,220800,1593.666667,7192.726744,4178.428953,2100,2400,2250,0,0,0,1,0,0,0,0,0.020124504,0.020009778,0.232199006,0.433180464,0.294486247,0.479921435,0.216469722,0.056218058,0.010221465,0.846153846,0.153846154,0.352467041,0.0625,1,-0.214980159,-0.6,-0.05,1,0.85,0.5,0.85,5500
9,1316,0.420047732,0.999999999,0.574002573,29,9,4,1,4.749240122,9,0,1,0,0,0,0,-1,798,323.4444444,12900,843300,168833.3333,2828.878049,6126.682927,3891.547551,1100,21900,12266.66667,1,0,0,0,0,0,0,0,0.022885079,0.616110269,0.022337168,0.31632945,0.022338034,0.444359835,0.144273553,0.044072948,0.012917933,0.773333333,0.226666667,0.335856098,0.033333333,1,-0.180427171,-0.5,-0.05,1,0,0.5,0,5500
12,1432,0.387050359,0.999999999,0.500539374,29,29,24,0,4.61452514,8,0,0,0,0,1,0,-1,689,332.7142857,0,843300,166875,0,3574.798112,2191.450566,917,13900,3172.857143,1,0,0,0,0,0,0,0,0.025000756,0.025201235,0.025000622,0.025000359,0.899797029,0.471243907,0.192545775,0.042597765,0.01047486,0.802631579,0.197368421,0.368132851,0.05,1,-0.213465608,-0.5,-0.05,0,0,0.5,0,5500
8,1378,0.438570365,0.999999999,0.608247422,27,1,13,0,4.942670537,8,1,0,0,0,0,0,-1,468,202.2857143,0,843300,230575,0,7869.999291,4211.361087,2900,2900,2900,0,0,0,0,0,0,1,1,0.025404042,0.025009311,0.15573676,0.304635059,0.489214828,0.395673486,0.104912654,0.035558781,0.007256894,0.830508475,0.169491525,0.312641134,0.05,1,-0.361428571,-0.6,-0.15,0.9,0.4,0.4,0.4,5500
8,2326,0.403705299,0.999999999,0.616168973,49,1,1,1,4.801375752,10,0,0,0,0,1,0,4,676,185.6666667,0,843300,132420,0,3941.984344,2679.852561,0,0,0,0,0,0,0,0,1,0,1,0.020118319,0.020031357,0.311279478,0.020117316,0.62845353,0.514899077,0.108520626,0.045571797,0.017626827,0.721088435,0.278911565,0.398437883,0.033333333,1,-0.396239837,-1,-0.05,0.95,-0.6,0.45,0.6,5400
8,2076,0.384015594,0.999999999,0.607672188,36,0,3,0,4.561175337,6,0,0,1,0,0,0,-1,474,153.8,0,843300,311566.6667,0,4856.069364,3029.738721,0,0,0,1,0,0,0,0,0,0,0,0.866585456,0.03333466,0.033333429,0.033333435,0.03341302,0.482855853,0.120257871,0.040944123,0.020712909,0.6640625,0.3359375,0.394125796,0.033333333,1,-0.257968808,-1,-0.05,0,0,0.5,0,5300
10,1618,0.41625,0.999999999,0.584325396,31,3,1,0,4.95302843,10,1,0,0,0,0,0,217,1200,486.8888889,0,69100,21450,0,3771.385965,2259.324012,1100,4700,2633.333333,0,0,0,0,0,1,0,1,0.552180915,0.020005011,0.020047978,0.020076629,0.387689467,0.402221124,0.179080823,0.053770087,0.009270705,0.852941176,0.147058824,0.354692118,0.033333333,0.7,-0.182222222,-0.4,-0.1,0.066666667,0.033333333,0.433333333,0.033333333,5200
